Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav
2017-07-22 11:37:02,7313.60,64.135,12.56,12.62,12.63,34511,18640,21.35,1.017
2017-07-22 11:37:08,7313.34,64.133,12.56,12.62,12.63,34521,18645,21.36,1.017
2017-07-22 11:37:14,7315.41,64.154,12.56,12.62,12.63,34521,18646,21.36,1.017
2017-07-22 11:37:20,7314.90,64.149,12.56,12.62,12.63,34531,18651,21.37,1.017
2017-07-22 11:37:27,7314.38,64.143,12.56,12.69,12.63,34471,18619,21.33,1.017
2017-07-22 11:37:33,7314.12,64.141,12.56,12.62,12.63,34541,18655,21.37,1.017
2017-07-22 11:37:39,7314.76,64.147,12.56,12.62,12.63,34541,18656,21.37,1.017
2017-07-22 11:37:46,7315.67,64.157,12.56,12.62,12.63,34541,18654,21.37,1.017
2017-07-22 11:37:52,7315.41,64.154,12.56,12.62,12.63,34551,18660,21.38,1.017
2017-07-22 11:37:58,7314.89,64.149,12.56,12.62,12.63,34551,18658,21.38,1.017
2017-07-22 11:38:04,7315.54,64.155,12.56,12.62,12.63,34551,18660,21.38,1.017
2017-07-22 11:38:11,7315.28,64.153,12.56,12.62,12.63,34561,18665,21.38,1.017
2017-07-22 11:38:17,7316.45,64.165,12.56,12.62,12.63,34561,18665,21.38,1.017
2017-07-22 11:38:23,7316.83,64.168,12.56,12.62,12.63,34571,18670,21.39,1.017
2017-07-22 11:38:29,7315.41,64.154,12.56,12.62,12.63,34571,18672,21.39,1.017
2017-07-22 11:38:35,7316.31,64.163,12.56,12.62,12.63,34571,18672,21.39,1.017
2017-07-22 11:38:41,7314.36,64.143,12.56,12.62,12.63,34571,18669,21.39,1.017
2017-07-22 11:38:48,7316.70,64.167,12.56,12.69,12.63,34521,18642,21.36,1.017
2017-07-22 11:38:54,7315.01,64.150,12.56,12.62,12.63,34571,18672,21.39,1.017
2017-07-22 11:39:00,7314.49,64.145,12.56,12.62,12.63,34581,18675,21.40,1.017
