Date       Time,Pres,Depth M,Depth ft,temp-.01,temp0c,temp0f,temp3.8,Conduct,TDS,salinity,spec_grav
2017-08-07 10:29:07,9054.18,-81.963,-268.909,13.12,13.19,55.74,13.07,31090,16791,19.07,1.016
2017-08-07 10:29:11,9052.18,-81.943,-268.842,13.12,13.12,55.62,13.07,31140,16820,19.10,1.016
2017-08-07 10:29:15,9054.51,-81.967,-268.920,13.12,13.19,55.74,13.07,31090,16789,19.07,1.016
2017-08-07 10:29:19,9053.68,-81.958,-268.892,13.12,13.19,55.74,13.07,31090,16792,19.07,1.016
2017-08-07 10:29:23,9052.84,-81.950,-268.864,13.12,13.19,55.74,13.07,31090,16794,19.07,1.016
2017-08-07 10:29:27,9050.51,-81.926,-268.786,13.12,13.19,55.74,13.07,31090,16789,19.07,1.016
2017-08-07 10:29:32,9054.33,-81.965,-268.914,13.12,13.19,55.74,13.07,31090,16791,19.07,1.016
2017-08-07 10:29:36,9055.17,-81.974,-268.942,13.12,13.19,55.74,13.07,31090,16791,19.07,1.016
2017-08-07 10:29:41,9054.33,-81.965,-268.914,13.12,13.19,55.74,13.07,31090,16789,19.07,1.016
2017-08-07 10:29:45,9055.50,-81.977,-268.953,13.12,13.19,55.74,13.07,31090,16793,19.07,1.016
2017-08-07 10:29:49,9052.33,-81.945,-268.847,13.12,13.19,55.74,13.07,31090,16792,19.07,1.016
2017-08-07 10:29:53,9055.83,-81.980,-268.964,13.12,13.19,55.74,13.07,31100,16796,19.08,1.016
2017-08-07 10:29:57,9054.33,-81.965,-268.914,13.12,13.19,55.74,13.07,31100,16797,19.08,1.016
2017-08-07 10:30:02,9053.17,-81.953,-268.875,13.12,13.19,55.74,13.07,31110,16802,19.08,1.016
2017-08-07 10:30:06,9052.00,-81.941,-268.836,13.12,13.19,55.74,13.07,31100,16798,19.08,1.016
2017-08-07 10:30:10,9054.33,-81.965,-268.914,13.12,13.19,55.74,13.07,31080,16786,19.06,1.016
2017-08-07 10:30:14,9053.17,-81.953,-268.875,13.12,13.19,55.74,13.07,31110,16800,19.08,1.016
2017-08-07 10:30:18,9053.17,-81.953,-268.875,13.12,13.19,55.74,13.07,31110,16800,19.08,1.016
2017-08-07 10:30:22,9054.33,-81.965,-268.914,13.12,13.19,55.74,13.07,31110,16800,19.08,1.016
2017-08-07 10:30:27,9052.84,-81.950,-268.864,13.12,13.19,55.74,13.07,31100,16799,19.08,1.016
2017-08-07 10:30:31,9055.17,-81.974,-268.942,13.12,13.19,55.74,13.07,31110,16800,19.08,1.016
